Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Application ID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source
40,Current employee,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1,9076,132531,2,Male,62,4,1,Research Scientist,3,Single,3505,19630,2,Y,No,18,4,4,80,0,2,3,3,2,2,0,2,Company Website
40,Current employee,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1,9080,132535,2,Male,62,4,1,Research Scientist,3,Single,3505,19630,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2,Company Website
40,Current employee,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1,9081,132536,2,Male,62,4,1,Research Scientist,3,Single,3505,19630,2,Y,No,18,3,4,80,0,2,3,3,2,2,0,2,Company Website
40,Current employee,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1,9083,132538,2,Male,62,4,1,Research Scientist,3,Single,3505,19630,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2,Company Website
40,Current employee,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1,9084,132539,2,Male,62,4,1,Research Scientist,3,Single,3505,19630,2,Y,No,18,4,4,80,0,2,3,3,2,2,0,2,Company Website
40,Current employee,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1,9088,132543,2,Male,62,4,1,Research Scientist,3,Single,3505,19630,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2,Company Website
40,Current employee,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1,9089,132544,2,Male,62,4,1,Research Scientist,3,Single,3505,19630,2,Y,No,18,3,4,80,0,2,3,3,2,2,0,2,Company Website
40,Current employee,Travel_Rarely,750,Research & Development,12,3,Life Sciences,1,9106,132561,2,Male,62,3,2,Sales Executive,4,Single,6274,18686,1,Y,No,22,3,3,80,0,6,5,3,6,5,1,4,Adzuna
40,Current employee,Travel_Rarely,750,Research & Development,12,3,Medical,1,9108,132563,2,Male,62,3,2,Sales Executive,4,Single,6274,18686,7,Y,No,22,3,3,80,0,6,5,3,6,5,1,4,Adzuna
40,Current employee,Travel_Rarely,750,Research & Development,12,3,Life Sciences,1,9111,132566,2,Male,62,3,2,Sales Executive,4,Single,6274,18686,1,Y,No,22,4,3,80,0,6,5,3,6,5,1,4,Adzuna
40,Current employee,Travel_Rarely,750,Research & Development,12,3,Medical,1,9112,132567,2,Male,62,3,2,Sales Executive,4,Single,6274,18686,7,Y,No,22,4,3,80,0,6,5,3,6,5,1,4,Adzuna
40,Current employee,Travel_Rarely,750,Research & Development,12,3,Life Sciences,1,9114,132569,2,Male,62,3,2,Sales Executive,4,Single,6274,18686,1,Y,No,22,3,3,80,0,6,5,3,6,5,1,4,Adzuna
40,Current employee,Travel_Rarely,750,Research & Development,12,3,Medical,1,9116,132571,2,Male,62,3,2,Sales Executive,4,Single,6274,18686,7,Y,No,22,3,3,80,0,6,5,3,6,5,1,4,Adzuna
40,Current employee,Travel_Rarely,750,Research & Development,12,3,Life Sciences,1,9119,132574,2,Male,62,3,2,Sales Executive,4,Single,6274,18686,1,Y,No,22,4,3,80,0,6,5,3,6,5,1,4,Adzuna
40,Current employee,Travel_Rarely,750,Research & Development,12,3,Medical,1,9120,132575,2,Male,62,3,2,Sales Executive,4,Single,6274,18686,7,Y,No,22,4,3,80,0,6,5,3,6,5,1,4,Adzuna
40,Current employee,Travel_Frequently,791,Research & Development,2,2,Medical,1,9348,132803,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,1,Y,No,24,4,4,80,1,8,2,3,8,7,3,7,Seek
40,Current employee,Travel_Frequently,791,Research & Development,2,2,Life Sciences,1,9350,132805,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,0,Y,No,24,4,4,80,1,8,2,3,8,7,3,7,Seek
40,Current employee,Travel_Frequently,791,Research & Development,2,2,Medical,1,9354,132809,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,1,Y,No,24,4,4,80,1,8,2,3,8,7,3,7,Seek
40,Current employee,Travel_Frequently,791,Research & Development,2,2,Life Sciences,1,9355,132810,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,0,Y,No,24,4,4,80,1,8,2,3,8,7,3,7,Seek
40,Current employee,Travel_Frequently,791,Research & Development,2,2,Medical,1,9356,132811,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,1,Y,No,24,4,4,80,1,8,2,3,8,7,3,7,Seek
40,Current employee,Travel_Frequently,791,Research & Development,2,2,Life Sciences,1,9358,132813,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,0,Y,No,24,4,4,80,1,8,2,3,8,7,3,7,Seek
40,Current employee,Travel_Frequently,791,Research & Development,2,2,Medical,1,9362,132817,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,1,Y,No,24,4,4,80,1,8,2,3,8,7,3,7,Seek
40,Current employee,Travel_Frequently,791,Research & Development,2,2,Life Sciences,1,9363,132818,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,0,Y,No,24,4,4,80,1,8,2,3,8,7,3,7,Seek
40,Current employee,Travel_Rarely,1137,Research & Development,1,4,Life Sciences,1,9413,132868,3,Male,62,2,1,Laboratory Technician,2,Divorced,2694,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,Seek
40,Current employee,Travel_Rarely,1137,Research & Development,1,4,Life Sciences,1,9418,132873,3,Male,62,2,1,Laboratory Technician,2,Divorced,2694,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,Seek
40,Current employee,Travel_Rarely,1137,Research & Development,1,4,Life Sciences,1,9419,132874,3,Male,62,2,1,Laboratory Technician,2,Divorced,2694,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,Seek
40,Current employee,Travel_Rarely,1137,Research & Development,1,4,Life Sciences,1,9421,132876,3,Male,62,2,1,Laboratory Technician,2,Divorced,2694,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,Seek
40,Current employee,Travel_Rarely,1137,Research & Development,1,4,Life Sciences,1,9422,132877,3,Male,62,2,1,Laboratory Technician,2,Divorced,2694,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,Seek
40,Current employee,Travel_Rarely,1137,Research & Development,1,4,Life Sciences,1,9426,132881,3,Male,62,2,1,Laboratory Technician,2,Divorced,2694,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,Seek
40,Current employee,Travel_Rarely,1137,Research & Development,1,4,Life Sciences,1,9427,132882,3,Male,62,2,1,Laboratory Technician,2,Divorced,2694,26551,1,Y,No,11,3,3,80,3,1,4,3,1,0,0,0,Seek
40,Current employee,Travel_Frequently,720,Research & Development,16,4,Medical,1,9652,133107,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,6,Y,No,14,3,4,80,0,10,6,3,1,0,0,0,Indeed
40,Current employee,Travel_Frequently,720,Research & Development,16,4,Medical,1,9655,133110,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,1,Y,No,14,3,4,80,0,10,6,3,1,0,0,0,Indeed
40,Current employee,Travel_Frequently,720,Research & Development,16,4,Medical,1,9658,133113,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,6,Y,No,14,3,4,80,0,10,6,3,1,0,0,0,Indeed
40,Current employee,Travel_Frequently,720,Research & Development,16,4,Medical,1,9659,133114,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,1,Y,No,14,3,4,80,0,10,6,3,1,0,0,0,Indeed
40,Current employee,Travel_Frequently,720,Research & Development,16,4,Medical,1,9660,133115,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,6,Y,No,14,3,4,80,0,10,6,3,1,0,0,0,Indeed
40,Current employee,Travel_Frequently,720,Research & Development,16,4,Medical,1,9663,133118,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,1,Y,No,14,3,4,80,0,10,6,3,1,0,0,0,Indeed
40,Current employee,Travel_Frequently,720,Research & Development,16,4,Medical,1,9666,133121,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,6,Y,No,14,3,4,80,0,10,6,3,1,0,0,0,Indeed
40,Current employee,Travel_Frequently,720,Research & Development,16,4,Medical,1,9667,133122,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,1,Y,No,14,3,4,80,0,10,6,3,1,0,0,0,Indeed
40,Current employee,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,9876,133331,3,Male,64,3,1,Research Scientist,4,Married,1706,16571,1,Y,No,11,3,3,80,3,0,6,2,0,0,0,0,LinkedIn
40,Current employee,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,9877,133332,3,Male,64,3,1,Research Scientist,4,Married,1706,16571,2,Y,No,11,3,3,80,3,0,6,2,0,0,0,0,LinkedIn
40,Current employee,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,9881,133336,3,Male,64,3,1,Research Scientist,4,Married,1706,16571,1,Y,No,11,3,3,80,3,0,6,2,0,0,0,0,LinkedIn
40,Current employee,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,9882,133337,3,Male,64,3,1,Research Scientist,4,Married,1706,16571,2,Y,No,11,3,3,80,3,0,6,2,0,0,0,0,LinkedIn
40,Current employee,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,9884,133339,3,Male,64,3,1,Research Scientist,4,Married,1706,16571,1,Y,No,11,3,3,80,3,0,6,2,0,0,0,0,LinkedIn
40,Current employee,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,9885,133340,3,Male,64,3,1,Research Scientist,4,Married,1706,16571,2,Y,No,11,3,3,80,3,0,6,2,0,0,0,0,LinkedIn
40,Current employee,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,9889,133344,3,Male,64,3,1,Research Scientist,4,Married,1706,16571,1,Y,No,11,3,3,80,3,0,6,2,0,0,0,0,LinkedIn
40,Current employee,Travel_Rarely,543,Research & Development,1,4,Life Sciences,1,9890,133345,3,Male,64,3,1,Research Scientist,4,Married,1706,16571,2,Y,No,11,3,3,80,3,0,6,2,0,0,0,0,LinkedIn
