Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Application ID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,Resigned,TravelFrequency
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,123456,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,123458,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,7,123462,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,8,123463,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,9,123464,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,10,123465,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,11,123466,1,Female,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,Indeed,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,13,123468,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,17,123472,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,18,123473,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,123456,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,123458,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,7,123462,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,560,124015,1,Male,39,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,561,124016,1,Male,39,3,2,Sales Executive,2,Married,6825,21173,4,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,563,124018,1,Male,39,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,564,124019,1,Male,39,3,2,Sales Executive,2,Married,6825,21173,4,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,570,124025,1,Male,39,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,571,124026,1,Male,39,3,2,Sales Executive,2,Married,6825,21173,4,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,573,124028,1,Male,39,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,574,124029,1,Male,39,3,2,Sales Executive,2,Married,6825,21173,4,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,855,124310,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Medical,1,858,124313,2,Female,49,3,5,Research Director,3,Married,19545,16280,2,Y,No,12,4,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,861,124316,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Medical,1,862,124317,2,Female,49,3,5,Research Director,3,Married,19545,16280,2,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,863,124318,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Medical,1,866,124321,2,Female,49,3,5,Research Director,3,Married,19545,16280,2,Y,No,12,4,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,869,124324,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1
41,Voluntary Resignation,Travel_Rarely,1360,Research & Development,12,3,Medical,1,870,124325,2,Female,49,3,5,Research Director,3,Married,19545,16280,2,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,GlassDoor,1,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,2989,126444,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,3,4,80,0,4,5,2,4,3,0,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Medical,1,2992,126447,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,9,Y,Yes,22,3,4,80,0,4,5,2,4,3,0,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,2995,126450,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Medical,1,2996,126451,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,9,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,2997,126452,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,3,4,80,0,4,5,2,4,3,0,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Medical,1,3000,126455,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,9,Y,Yes,22,3,4,80,0,4,5,2,4,3,0,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Marketing,1,3003,126458,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1356,Sales,20,2,Medical,1,3004,126459,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,9,Y,Yes,22,4,4,80,0,4,5,2,4,3,0,2,Company Website,1,1
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4899,128354,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4900,128355,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,8,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4904,128359,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4905,128360,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,8,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4907,128362,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4908,128363,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,8,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1
41,Voluntary Resignation,Travel_Rarely,1085,Research & Development,2,4,Life Sciences,1,4912,128367,2,Female,50,2,1,Sales Representative,3,Single,1200,9724,8,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,LinkedIn,1,1
41,Voluntary Resignation,Travel_Frequently,143,Sales,4,3,Marketing,1,5923,129378,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Adzuna,1,2
