Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,Application ID,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,Job Satisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Resigned,TravelFrequency,MaritalStatusNum,OvertimeFlag,DepartmentCode,EducationFieldCode,GenderCode,JobRoleCode,Over18Code,EmployeeSourceCode,Hourly Rate Bracket,Job Satisfaction Bracket
41,1102,1,2,1,1,123456,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,0,1,6,4,0,5,1,1,0,1,0,0,1,7,1,5,4,1
41,1102,1,2,1,1,123458,2,94,3,2,4,5993,19479,4,11,3,1,80,0,8,0,1,6,4,0,5,1,1,0,1,0,0,1,7,1,5,4,1
41,1102,1,2,1,7,123462,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,0,1,6,4,0,5,1,1,0,1,0,0,1,7,1,5,4,1
41,1102,1,2,1,8,123463,2,94,3,2,4,5993,19479,4,11,3,1,80,0,8,0,1,6,4,0,5,1,1,0,1,0,0,1,7,1,5,4,1
41,1102,1,2,1,9,123464,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,0,1,6,4,0,5,1,1,0,1,0,0,1,7,1,5,4,1
41,1102,1,2,1,10,123465,4,33,3,4,3,14756,19730,2,14,3,3,80,3,21,2,3,5,0,0,2,1,1,1,1,0,0,1,3,1,1,0,1
41,1102,1,2,1,11,123466,1,41,3,5,1,19566,3854,5,11,3,4,80,0,33,5,1,29,8,11,10,1,1,2,0,0,0,1,3,1,3,0,0
41,1102,1,2,1,13,123468,2,94,3,2,4,5993,19479,4,11,3,1,80,0,8,0,1,6,4,0,5,1,1,0,1,0,0,1,7,1,5,4,1
41,1102,1,2,1,17,123472,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,0,1,6,4,0,5,1,1,0,1,0,0,1,7,1,5,4,1
41,1102,1,2,1,18,123473,2,94,3,2,4,5993,19479,4,11,3,1,80,0,8,0,1,6,4,0,5,1,1,0,1,0,0,1,7,1,5,4,1
